Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
39.0,2007,203.0,159.0,1017.0,2.0,1.0,11.0,2.0,4.0,8.3,168901,272.0,483.0,1.0,6.0,4,5,7950.0
23.0,2005,265.0,145.0,2901.0,2.0,1.0,11.0,2.0,5.0,9.3,167562,311.0,503.0,1.0,4.0,4,5,7949.0
18.0,2007,164.0,60.0,1905.0,2.0,1.0,11.0,2.0,5.0,7.4,236946,287.0,51.0,1.0,1.0,4,5,8880.0
34.0,2011,44.0,127.0,782.0,2.0,1.0,6.0,2.0,5.0,9.8,183580,379.0,132.0,1.0,3.0,4,5,12990.0
22.0,2015,153.0,145.0,1390.0,2.0,1.0,36.0,3.0,4.0,5.3,124882,234.0,51.0,3.0,4.0,4,5,19888.0
45.0,2005,239.0,145.0,2118.0,2.0,1.0,11.0,2.0,5.0,8.9,247519,311.0,464.0,1.0,4.0,4,5,5950.0
9.0,2021,123.0,127.0,434.0,2.0,1.0,39.0,3.0,5.0,7.2,9819,60.0,306.0,3.0,3.0,4,5,51990.0
29.0,2004,94.0,145.0,3402.0,2.0,1.0,16.0,2.0,5.0,10.5,124230,236.0,51.0,1.0,4.0,4,5,16000.0
22.0,2011,153.0,145.0,1389.0,2.0,1.0,36.0,0.0,4.0,10.3,91016,229.0,204.0,3.0,4.0,4,5,16999.0
34.0,2014,301.0,145.0,1008.0,2.0,1.0,11.0,2.0,5.0,5.2,38821,379.0,446.0,1.0,4.0,4,5,29800.0
29.0,2013,7.0,127.0,2336.0,2.0,1.0,11.0,2.0,5.0,9.4,167122,0.0,177.0,1.0,3.0,4,5,23913.0
33.0,2004,224.0,145.0,1738.0,2.0,1.0,11.0,2.0,5.0,9.4,207966,229.0,56.0,1.0,4.0,4,5,8990.0
20.0,2002,96.0,154.0,1926.0,2.0,2.0,19.0,3.0,1.0,8.0,169981,338.0,371.0,1.0,5.0,4,5,7880.0
45.0,2014,161.0,154.0,2109.0,2.0,1.0,18.0,0.0,1.0,5.9,73021,311.0,203.0,1.0,5.0,4,5,27995.0
1.0,2010,232.0,145.0,533.0,2.0,1.0,11.0,1.0,1.0,6.9,106831,9.0,56.0,1.0,4.0,4,5,8995.0
33.0,2021,188.0,127.0,2026.0,2.0,1.0,11.0,2.0,5.0,7.2,51311,311.0,416.0,1.0,3.0,4,5,30888.0
1.0,2014,232.0,145.0,849.0,2.0,1.0,31.0,1.0,1.0,7.5,137763,170.0,203.0,3.0,4.0,4,5,24990.0
30.0,2022,59.0,127.0,472.0,2.0,1.0,9.0,3.0,4.0,7.3,21532,157.0,156.0,1.0,3.0,4,5,39990.0
43.0,2022,299.0,127.0,814.0,2.0,2.0,16.0,1.0,4.0,7.1,15,311.0,306.0,1.0,3.0,4,5,23690.0
34.0,2015,229.0,127.0,1476.0,2.0,1.0,9.0,2.0,5.0,7.2,154276,272.0,203.0,1.0,3.0,4,5,28990.0
29.0,2009,92.0,145.0,1428.0,2.0,1.0,6.0,1.0,1.0,11.0,98170,229.0,95.0,1.0,4.0,4,5,34990.0
15.0,2010,91.0,127.0,1113.0,2.0,1.0,9.0,2.0,5.0,9.3,203500,157.0,306.0,1.0,3.0,4,5,7995.0
26.0,2018,250.0,145.0,2331.0,2.0,1.0,35.0,1.0,4.0,8.5,37726,145.0,102.0,3.0,4.0,4,5,49913.0
33.0,2013,188.0,127.0,1208.0,2.0,1.0,15.0,2.0,5.0,6.4,103629,9.0,306.0,1.0,3.0,4,5,12995.0
29.0,2015,7.0,127.0,99.0,2.0,1.0,11.0,2.0,5.0,7.5,92805,157.0,92.0,1.0,3.0,4,5,23913.0
9.0,2005,209.0,159.0,547.0,2.0,1.0,14.0,2.0,5.0,9.5,98800,338.0,70.0,1.0,6.0,4,5,9888.0
33.0,2009,283.0,154.0,781.0,2.0,1.0,16.0,0.0,1.0,11.0,127994,264.0,21.0,1.0,5.0,4,5,13990.0
45.0,2015,52.0,127.0,224.0,2.0,1.0,35.0,2.0,5.0,9.2,31931,264.0,264.0,3.0,3.0,4,5,38800.0
34.0,2011,235.0,145.0,2426.0,2.0,1.0,11.0,2.0,5.0,7.6,120209,311.0,408.0,1.0,4.0,4,5,18990.0
33.0,2011,188.0,127.0,985.0,2.0,2.0,11.0,2.0,5.0,8.9,174239,311.0,307.0,1.0,3.0,4,5,13800.0
18.0,2004,284.0,145.0,3347.0,2.0,1.0,11.0,2.0,5.0,9.5,95362,0.0,56.0,1.0,4.0,4,5,12995.0
10.0,2018,285.0,154.0,1869.0,2.0,2.0,18.0,0.0,1.0,5.6,67615,251.0,12.0,1.0,5.0,4,5,32980.0
43.0,2018,223.0,145.0,2459.0,2.0,1.0,16.0,1.0,5.0,5.3,38238,311.0,56.0,1.0,4.0,4,5,35800.0
27.0,2017,228.0,154.0,1681.0,2.0,2.0,13.0,0.0,1.0,5.2,44286,311.0,306.0,1.0,5.0,4,5,26800.0
1.0,2017,230.0,145.0,1830.0,2.0,1.0,5.0,2.0,4.0,6.8,116134,170.0,543.0,1.0,4.0,4,5,28880.0
33.0,2020,224.0,145.0,986.0,2.0,1.0,11.0,2.0,5.0,7.4,40178,311.0,306.0,1.0,4.0,4,5,26300.0
18.0,2010,259.0,145.0,62.0,2.0,1.0,29.0,0.0,5.0,8.9,191701,311.0,306.0,3.0,4.0,4,5,10499.0
43.0,2019,223.0,145.0,3012.0,2.0,1.0,16.0,1.0,5.0,7.6,43534,132.0,204.0,1.0,4.0,4,5,25990.0
46.0,2015,277.0,145.0,839.0,2.0,1.0,11.0,1.0,4.0,6.9,77936,21.0,70.0,1.0,4.0,4,5,23990.0
41.0,2015,180.0,145.0,2998.0,2.0,1.0,0.0,2.0,4.0,6.0,49801,9.0,276.0,0.0,4.0,4,5,26990.0
9.0,2013,123.0,127.0,542.0,2.0,1.0,39.0,3.0,5.0,8.1,121608,264.0,444.0,3.0,3.0,4,5,16950.0
26.0,2014,251.0,145.0,2332.0,2.0,1.0,35.0,1.0,2.0,5.6,112133,395.0,102.0,3.0,4.0,4,5,13999.0
18.0,2016,284.0,145.0,1373.0,2.0,1.0,7.0,1.0,5.0,7.4,139558,71.0,105.0,1.0,4.0,4,5,12990.0
29.0,2017,7.0,127.0,206.0,2.0,1.0,14.0,2.0,5.0,7.9,97480,157.0,111.0,1.0,3.0,4,5,23999.0
2.0,2020,305.0,145.0,1568.0,2.0,1.0,11.0,0.0,4.0,6.7,29007,304.0,70.0,1.0,4.0,4,5,34990.0
43.0,2017,223.0,145.0,2767.0,2.0,1.0,16.0,1.0,5.0,7.9,115759,157.0,504.0,1.0,4.0,4,5,24990.0
23.0,2006,269.0,127.0,2646.0,2.0,1.0,34.0,3.0,5.0,9.9,260901,229.0,15.0,3.0,3.0,4,5,6990.0
